N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.001507044,0.001508,0,100.06%
2000,0.009790897,0.009266,0,94.64%
3000,0.02276206,0.021988,0.000332,98.06%
4000,0.041015148,0.039554,0,96.44%
5000,0.05565095,0.055527,0,99.78%
8000,0.142717123,0.142519,0,99.86%
10000,0.21927619,0.21846,0.000352,99.79%
50000,6.205183029,6.2001,0.001034,99.93%
100000,25.01831508,25.007723,0.000979,99.96%
150000,56.84259892,56.812422,0.009052,99.96%
200000,102.1346951,102.001158,0.018113,99.89%
300000,225.678772,223.116702,2.455332,99.95%
400000,403.68027,403.430025,0.031066,99.95%
500000,627.9432769,627.502731,0.047985,99.94%
600000,907.034518,906.408889,0.109946,99.94%
700000,1234.880814,1233.110567,0.951563,99.93%
800000,1617.228402,1613.888884,2.120432,99.92%
900000,2045.607427,2041.192797,3.152063,99.94%
1000000,2531.155992,2526.702476,2.494104,99.92%
1500000,5876.299807,5854.162166,5.530688,99.72%
2000000,10233.79237,10183.36317,40.136934,99.90%
